entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2026-02-11 10:10:00,2026-02-11 10:55:00,SHORT,25188.0,25244.75,-114.74,260.0,-166.0,9,45,EMA Break Exit,2026,2026-02,Wednesday,10,False
2026-02-11 12:25:00,2026-02-11 13:05:00,LONG,25289.5,25230.75,-118.74,71.0,-118.5,8,40,EMA Break Exit,2026,2026-02,Wednesday,12,False
2026-02-12 10:00:00,2026-02-12 13:40:00,SHORT,25200.25,24907.75,583.76,798.5,-120.0,44,220,EMA Break Exit,2026,2026-02,Thursday,10,True
2026-02-12 15:25:00,2026-02-12 15:55:00,SHORT,24804.75,24764.0,80.26,166.5,-60.0,6,30,EOD Close,2026,2026-02,Thursday,15,True
2026-02-13 10:20:00,2026-02-13 10:45:00,LONG,24776.75,24737.0,-80.74,305.0,-113.0,5,25,EMA Break Exit,2026,2026-02,Friday,10,False
2026-02-13 11:10:00,2026-02-13 13:05:00,LONG,24840.0,24927.75,174.26,308.0,-154.5,23,115,EMA Break Exit,2026,2026-02,Friday,11,True
2026-02-13 13:30:00,2026-02-13 13:55:00,LONG,24979.5,24939.75,-80.74,32.0,-113.0,5,25,EMA Break Exit,2026,2026-02,Friday,13,False
2026-02-16 10:30:00,2026-02-16 11:10:00,SHORT,24695.0,24751.5,-114.24,34.5,-114.5,8,40,EMA Break Exit,2026,2026-02,Monday,10,False
2026-02-17 10:05:00,2026-02-17 10:50:00,SHORT,24511.75,24573.75,-125.24,125.0,-259.0,9,45,EMA Break Exit,2026,2026-02,Tuesday,10,False
2026-02-17 11:05:00,2026-02-17 12:10:00,LONG,24728.0,24702.5,-52.24,137.0,-85.0,13,65,Time Stop,2026,2026-02,Tuesday,11,False
2026-02-18 10:10:00,2026-02-18 11:55:00,LONG,25043.0,25061.25,35.26,151.5,-43.5,21,105,EMA Break Exit,2026,2026-02,Wednesday,10,True
2026-02-18 12:20:00,2026-02-18 13:15:00,LONG,25106.0,25081.5,-50.24,43.0,-72.5,11,55,EMA Break Exit,2026,2026-02,Wednesday,12,False
2026-02-19 10:15:00,2026-02-19 11:05:00,LONG,24901.5,24895.25,-13.74,86.0,-104.0,10,50,EMA Break Exit,2026,2026-02,Thursday,10,False
2026-02-19 11:55:00,2026-02-19 12:20:00,SHORT,24843.75,24888.5,-90.74,67.0,-122.5,5,25,EMA Break Exit,2026,2026-02,Thursday,11,False
2026-02-20 10:00:00,2026-02-20 11:25:00,LONG,24974.75,24977.25,3.76,330.0,-233.0,17,85,EMA Break Exit,2026,2026-02,Friday,10,True
2026-02-20 11:50:00,2026-02-20 12:10:00,LONG,25122.0,24982.5,-280.24,11.0,-283.0,4,20,EMA Break Exit,2026,2026-02,Friday,11,False
2026-02-20 12:25:00,2026-02-20 12:50:00,SHORT,24926.5,25027.25,-202.74,28.5,-227.0,5,25,EMA Break Exit,2026,2026-02,Friday,12,False
2026-02-24 10:25:00,2026-02-24 11:30:00,LONG,25012.0,24972.75,-79.74,70.0,-90.0,13,65,Time Stop,2026,2026-02,Tuesday,10,False
2026-02-24 11:55:00,2026-02-24 13:15:00,LONG,25029.0,25034.25,9.26,103.5,-15.0,16,80,EMA Break Exit,2026,2026-02,Tuesday,11,True
2026-02-25 11:40:00,2026-02-25 15:25:00,LONG,25320.75,25366.75,90.76,116.5,-23.5,45,225,EMA Break Exit,2026,2026-02,Wednesday,11,True
2026-02-26 11:55:00,2026-02-26 13:30:00,SHORT,24963.5,24975.25,-24.74,149.5,-91.5,19,95,Time Stop,2026,2026-02,Thursday,11,False
2026-02-26 15:25:00,2026-02-26 15:30:00,SHORT,25029.25,25069.0,-80.74,3.5,-80.5,1,5,EMA Cross Stop,2026,2026-02,Thursday,15,False
2026-02-27 10:05:00,2026-02-27 11:05:00,LONG,24955.75,24951.0,-10.74,131.5,-69.5,12,60,Time Stop,2026,2026-02,Friday,10,False
2026-02-27 13:00:00,2026-02-27 14:00:00,SHORT,24929.5,24943.0,-28.24,109.5,-35.0,12,60,Time Stop,2026,2026-02,Friday,13,False
2026-03-02 11:55:00,2026-03-02 13:20:00,LONG,25033.5,25025.0,-18.24,86.0,-51.5,17,85,Time Stop,2026,2026-03,Monday,11,False
